stamp_sec,cross_track_error,heading_error,steering_command,steering_oscillation,commanded_speed,curvature,control_latency_ms,lookahead_distance,target_x,target_y,path_pose_count
1782712905.1944742,0.0,0.0,0.0,0.0,1.0,0.0,0.07769300009385915,0.8,2.0,0.0,5
1782712905.295679,0.101340172,0.0,0.0,0.0,1.0,0.0,0.40717200045037316,0.8,2.0,0.0,5
1782712905.395165,0.20072983,0.0,0.0,0.0,1.0,0.0,0.12270699971850263,0.8,2.0,0.0,5
1782712905.4945154,0.30070385099999997,0.0,0.0,0.0,1.0,0.0,0.060647000282187946,0.8,2.0,0.0,5
1782712905.5942373,0.4006737369999999,0.0,0.0,0.0,1.0,0.0,0.06389700047293445,0.8,2.0,0.0,5
1782712905.6944752,0.5005350869999999,0.0,0.0,0.0,1.0,0.0,0.08583199996792246,0.8,2.0,0.0,5
1782712905.7940488,0.6010625029999999,0.0,0.0,0.0,1.0,0.0,0.044367000555212144,0.8,2.0,0.0,5
1782712905.8948355,0.7006509899999998,0.0,0.0,0.0,1.0,0.0,0.07261100017785793,0.8,2.0,0.0,5
1782712905.9943764,0.8008712859999998,3.141592653589793,4.592425496802574e-16,4.592425496802574e-16,0.0,3.0616169978683826e-16,0.06029699943610467,0.8,0.0,0.0,5
1782712906.0952044,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12260800031071994,0.8,0.0,0.0,5
1782712906.194266,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06194199977471726,0.8,0.0,0.0,5
1782712906.2944837,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.08045899994613137,0.8,0.0,0.0,5
1782712906.3949268,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12008500016236212,0.8,0.0,0.0,5
1782712906.494792,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09087099988391856,0.8,0.0,0.0,5
1782712906.5951176,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11037000058422564,0.8,0.0,0.0,5
1782712906.6953673,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11027299933630275,0.8,0.0,0.0,5
1782712906.793758,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.053390999710245524,0.8,0.0,0.0,5
1782712906.8951697,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11842500043712789,0.8,0.0,0.0,5
1782712906.995032,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1204189993586624,0.8,0.0,0.0,5
1782712907.0946124,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06270599988056347,0.8,0.0,0.0,5
