stamp_sec,frame_id,waypoint_count,publish_interval_ms,loop_rate_hz
1782712905.1781607,map,5,0.0,0.0
1782712906.178105,map,5,999.944309,1.0000556941016603
1782712907.1964405,map,5,1018.3353559999999,0.9819947761884447
1782712908.1946952,map,5,998.25475,1.001748301222709
1782712909.191325,map,5,996.6297129999999,1.003381684246454
1782712910.1777356,map,5,986.4107899999999,1.0137764206735818
1782712911.2238028,map,5,1046.067082,0.9559616368847749
1782712912.1772623,map,5,953.4595039999999,1.0488122419512849
1782712913.1772206,map,5,999.9584239999999,1.0000415777286358
1782712914.204881,map,5,1027.660237,0.9730842587811441
1782712915.2213292,map,5,1016.4482939999999,0.9838178743600706
1782712916.177337,map,5,956.007606,1.0460167824229634
1782712917.1956732,map,5,1018.336506,0.9819936672288954
1782712918.1773741,map,5,981.700829,1.018640272534597
1782712919.207279,map,5,1029.904698,0.9709636259956161
1782712920.1780138,map,5,970.735023,1.0301472351430758
1782712921.2220378,map,5,1044.023835,0.9578325383730344
1782712922.1780803,map,5,956.04264,1.0459784513376935
1782712923.2051954,map,5,1027.1150579999999,0.973600758952168
1782712924.1780415,map,5,972.846049,1.0279118685098345
1782712925.1809049,map,5,1002.863293,0.9971448820392711
1782712926.1773453,map,5,996.4405959999999,1.0035721186132807
1782712927.1775115,map,5,1000.16604,0.9998339875647048
1782712928.1776507,map,5,1000.1393439999999,0.9998606754140452
1782712929.1831176,map,5,1005.4669729999999,0.9945627522864444
1782712930.1780796,map,5,994.9619779999999,1.0050635321865535
1782712931.1787438,map,5,1000.664096,0.9993363447308097
1782712932.177971,map,5,999.2271989999999,1.0007733986832759
1782712933.1778471,map,5,999.876238,1.0001237773189287
1782712934.1774735,map,5,999.626371,1.0003737686508072
1782712935.178395,map,5,1000.9215479999999,0.9990793004688117
1782712936.1772587,map,5,998.8635479999999,1.0011377449925725
1782712937.1937082,map,5,1016.449582,0.9838166277095287
1782712938.1779218,map,5,984.2135199999999,1.0160396902493274
1782712939.177597,map,5,999.6751859999999,1.000324919538415
1782712940.178156,map,5,1000.5589339999999,0.999441378232699
1782712941.1790783,map,5,1000.9224019999999,0.9990784480413698
1782712942.1780086,map,5,998.930312,1.0010708334576996
1782712943.1791956,map,5,1001.187006,0.9988144013127553
1782712944.1782985,map,5,999.1029669999999,1.0008978383906653
1782712945.1787763,map,5,1000.4777009999999,0.999522527089287
1782712946.1780813,map,5,999.3050499999999,1.0006954332913658
1782712947.1792667,map,5,1001.18527,0.9988161332018
1782712948.17804,map,5,998.7734069999999,1.0012280993781006
1782712949.1881504,map,5,1010.110475,0.9899907235394229
1782712950.1781266,map,5,989.9759909999999,1.0101255071750523
1782712951.1836905,map,5,1005.564181,0.9944666077957683
1782712952.1781437,map,5,994.452998,1.0055779428602014
1782712953.1856673,map,5,1007.523572,0.9925326094504517
1782712954.1780243,map,5,992.3569759999999,1.0077018897280368
1782712955.1787488,map,5,1000.724621,0.9992759036953884
1782712956.177976,map,5,999.227142,1.0007734557714807
1782712957.1892495,map,5,1011.273523,0.9888521525150225
1782712958.178474,map,5,989.2244179999999,1.0108929599835252
1782712959.1788974,map,5,1000.4234419999999,0.9995767372272352
1782712960.1772485,map,5,998.351005,1.0016517186758378
1782712961.180621,map,5,1003.372444,0.9966388911513699
1782712962.1779447,map,5,997.3238789999999,1.0026833018404044
1782712963.1806135,map,5,1002.6688859999999,0.9973382179927344
1782712964.1780214,map,5,997.407928,1.0025988082982231
1782712965.1829972,map,5,1004.975826,0.995048810258646
1782712966.1782045,map,5,995.207323,1.0048157573695828
1782712967.179177,map,5,1000.972488,0.9990284568140898
1782712968.1780617,map,5,998.884562,1.0011166835913117
1782712969.1877925,map,5,1009.730747,0.9903630279369913
1782712970.1779413,map,5,990.1489479999999,1.0099490607144492
1782712971.1872916,map,5,1009.350153,0.9907364624930116
1782712972.1780481,map,5,990.7565069999999,1.009329732315349
1782712973.1832092,map,5,1005.1611479999999,0.9948653526747734
1782712974.1780217,map,5,994.812548,1.0052145019787184
1782712975.1789334,map,5,1000.9116809999999,0.9990891494051812
1782712976.1781604,map,5,999.2268889999999,1.0007737091630649
1782712977.1789327,map,5,1000.7724129999999,0.9992281831613599
1782712978.1782315,map,5,999.2987479999999,1.0007017440994532
1782712979.177967,map,5,999.7355699999999,1.0002644999417196
1782712980.1779928,map,5,1000.025665,0.9999743356586753
